SKU,Product Name,Min Q,UPC
S4654-LTGR,"Artificial Nertera Berry Vine - 13""",3,848644019367
S4672-GR,"Artificial Cactus Plant Foliage Stem - 8""",3,848644019442
S4681-GR,"Faux Monstera Leaf Foliage Stem - 20""",3,848644019497
S4688-BY,"Peony Silk Flower Stem - 24""",3,848644017998
S4688-CPG,"Peony Silk Flower Stem - 24""",3,848644018001
S4688-LV,"Peony Silk Flower Stem - 24""",3,848644018018
S4688-WH,"Peony Silk Flower Stem - 24""",3,848644018025
S4703-CRPU,"Artificial Mini Dendrobium Orchid Foliage Stem - 18""",3,848644019626
S4703-PL,"Artificial Mini Dendrobium Orchid Foliage Stem - 18""",3,848644019633
S4703-WHPU,"Artificial Mini Dendrobium Orchid Foliage Stem - 18""",3,848644019640
S4706-DKPK,"Fluffy Ranunculus Silk Flower Stem Spray - 25""",3,848644019664
S4706-WHCR,"Fluffy Ranunculus Silk Flower Stem Spray - 25""",3,848644019671
S4706-WN,"Fluffy Ranunculus Silk Flower Stem Spray - 25""",3,848644019688
S4706-YE,"Fluffy Ranunculus Silk Flower Stem Spray - 25""",3,848644019695
S4708-WH,"Artificial Oncidium Orchid Flower Stem Spray - 39""",3,848644019701
S4708-YE,"Artificial Oncidium Orchid Flower Stem Spray - 39""",3,848644019718
S4715-BKPU,"Faux Berry Spray - 20""",3,848644019725
S4715-CRW,"Faux Berry Spray - 20""",3,848644019732
S4715-LM,"Faux Berry Spray - 20""",3,848644019749
S4762-BRD,"Tiger Lily Silk Flower Stem Spray - 25""",3,848644019763
S4762-HVG,"Tiger Lily Silk Flower Stem Spray - 25""",3,848644019770
S4762-OR,"Tiger Lily Silk Flower Stem Spray - 25""",3,848644019787
S4762-PRT,"Tiger Lily Silk Flower Stem Spray - 25""",3,848644019794
S4762-RB,"Tiger Lily Silk Flower Stem Spray - 25""",3,848644019800
S4785-PC,"Dahlia Silk Flower Stem Spray - 14""",3,848644019909
S4785-PK,"Dahlia Silk Flower Stem Spray - 14""",3,848644019916
S4785-RD,"Dahlia Silk Flower Stem Spray - 14""",3,848644019923
S4785-WH,"Dahlia Silk Flower Stem Spray - 14""",3,848644019930
S4813-GR,"Artificial Cedar Spray with Cones - 17.5""",3,848644019961
S4825-ORYL,"Faux Hypericum Bud Flower Stem Spray - 20.5""",3,848644020028
S4836-GR,"Artifcial Hemlock Foliage Spray with Cones - 21""",3,848644020033
S4897-BY,"Wild Lilac Silk Flower Stem Spray - 18""",3,848644020080
S4897-CR,"Wild Lilac Silk Flower Stem Spray - 18""",3,848644020097
S4897-PK,"Wild Lilac Silk Flower Stem Spray - 18""",3,848644020103
S4897-YE,"Wild Lilac Silk Flower Stem Spray - 18""",3,848644020110
S4903-GOR,"Poppy Sillk Flower Spray - 23""",3,848644018179
S4903-OR,"Poppy Sillk Flower Spray - 23""",3,848644018186
S4903-RD,"Poppy Sillk Flower Spray - 23""",3,848644018193
S4903-YE,"Poppy Sillk Flower Spray - 23""",3,848644018209
S4905-OR,"Tiger Lily Silk Flower Stem - 30""",3,848644018216
S4905-RB,"Tiger Lily Silk Flower Stem - 30""",3,848644018223
S4905-WH,"Tiger Lily Silk Flower Stem - 30""",3,848644018230
S4905-YE,"Tiger Lily Silk Flower Stem - 30""",3,848644018247
S4906-CR,"Snowball Hydrangea Silk Flower Bundle - 12""",3,848644020189
S4906-LGR,"Snowball Hydrangea Silk Flower Bundle - 12""",3,848644020196
S4906-PC,"Snowball Hydrangea Silk Flower Bundle - 12""",3,848644020202
S4907-CR,"Snowball Hydrangea Silk Flower Stem Spray - 25""",3,848644020219
S4907-LGR,"Snowball Hydrangea Silk Flower Stem Spray - 25""",3,848644020226
S4908-CR,"Artificial Pear Blossom Flower Stem - 31""",3,848644020233
S4922-TTG,"Western Hemlock with Cones Artificial Foliage Stem - 18""",3,848644020271
S4924-REYE,"Artificial Bittersweet Foliage Stem Spray - 36""",3,848644020288
S4933-GRWH,"Faux Cactus Stem with Flower - 14""",3,848644020295
S4934-SG,"Artificial Eucalyptus Seed Foliage Spray - 22""",3,848644020301
S4950-CR,"Artificial Mistletoe Foliage Spray - 28""",3,848644020349
S4962-GR,"Faux Tea Leaves Foliage Stem Spray - 24""",3,848644020370
S5066-GR,"Artificial Mixed Eucalyptus Foliage Stem Spray - 18""",3,848644020462
S5072-OR,"Diamond Rose Silk Flower Stem Spray - 19.5""",3,848644020523
S5072-PCYE,"Diamond Rose Silk Flower Stem Spray - 19.5""",3,848644020530
S5080-ATOR,"Cosmos Silk Flower Stem - 30""",3,848644018353
S5080-HVBL,"Cosmos Silk Flower Stem - 30""",3,848644018360
S5080-LTPK,"Cosmos Silk Flower Stem - 30""",3,848644018377
S5081-PC,"Daisy Silk Flower Stem Spray - 25""",3,848644020684
S5081-VI,"Daisy Silk Flower Stem Spray - 25""",3,848644020691
S5082-PU,"Queen Anne's Lace Faux Flower Stem - 30""",3,848644018384
S5082-WH,"Queen Anne's Lace Faux Flower Stem - 30""",3,848644018391
S5083-BTY,"Cabbage Rose Faux Flower Stem Spray - 14""",3,848644020707
S5083-CRPK,"Cabbage Rose Faux Flower Stem Spray - 14""",3,848644020714
S5083-OR,"Cabbage Rose Faux Flower Stem Spray - 14""",3,848644020721
S5083-RD,"Cabbage Rose Faux Flower Stem Spray - 14""",3,848644020738
S5090-OR,"Faux Wax Flower Spray - 29""",3,848644020844
S5090-RD,"Faux Wax Flower Spray - 29""",3,848644020851
S5091-GRYE,"Artificial Mini Leaves Foliage Spray - 22""",3,848644020868
S5091-RDGR,"Artificial Mini Leaves Foliage Spray - 22""",3,848644020875
S5099-LV,"Mini Freesia Faux Flower Stem Spray - 30""",3,848644021018
S5099-WH,"Mini Freesia Faux Flower Stem Spray - 30""",3,848644021025
S6028-TTYE,"Maple Leaf Artificial Foliage Stem Spray - 32""",3,848644021056
S6043-GR,"Artificial Mini English Ivy Bush - 13""",3,848644021162
S1276-WHT,"Faux Magnolia Flower Stem - 14""",4,848644017103
S3073-BE,"Gypsophillia Spray - 26""",4,848644018650
S3073-CR,"Gypsophillia Spray - 26""",4,848644018667
S3073-GR,"Gypsophillia Spray - 26""",4,848644018674
S4077-FU,"Zinnia Silk Flower Stem - 25""",4,848644018759
S4077-OR,"Zinnia Silk Flower Stem - 25""",4,848644018766
S4077-YE,"Zinnia Silk Flower Stem - 25""",4,848644018773
S4161-BR,"Faux Flower Heather Stem - 24.5""",4,848644018810
S4161-YE,"Faux Flower Heather Stem - 24.5""",4,848644018827
S4421-DKGR,"Artificial Tillandsia Air Plant Foliage Stem - 8""",4,848644018957
S4569-GR,"Westland Artificial Ficus Leaf Foliage Branch - 24""",4,848644017837
S4641-GRYE,"Wormwood Artificial Foliage Spray - 33""",4,848644019305
S4680-GR,"Faux Anthurium Leaf Foliage Stem - 18""",4,848644019480
S4704-GR,"Artificial Phalaenopsis Orchid Foliage with Roots - 9""",4,848644019657
S4707-DKPK,"Alstroemeria Silk Flower Stem - 25""",4,848644018032
S4707-PMKN,"Alstroemeria Silk Flower Stem - 25""",4,848644018049
S4707-YE,"Alstroemeria Silk Flower Stem - 25""",4,848644018056
S4707-YERO,"Alstroemeria Silk Flower Stem - 25""",4,848644018063
S4783-LTG,"Silk Ranunculus Flower Stem Spray - 13""",4,848644019848
S4783-LTY,"Silk Ranunculus Flower Stem Spray - 13""",4,848644019855
S4783-OR,"Silk Ranunculus Flower Stem Spray - 13""",4,848644019862
S4783-PC,"Silk Ranunculus Flower Stem Spray - 13""",4,848644019879
S4783-PU,"Silk Ranunculus Flower Stem Spray - 13""",4,848644019886
S4783-RD,"Silk Ranunculus Flower Stem Spray - 13""",4,848644019893
S4823-BR,"Faux Heather Artificial Flower Stem Spray - 28""",4,848644020004
S4883-WB,"Faux Cotton Pod Foliage Stem Spray - 18""",4,848644020073
S4904-GOR,"Poppy Silk Flower Stem - 22.5""",4,848644020141
S4904-OR,"Poppy Silk Flower Stem - 22.5""",4,848644020158
S4904-RD,"Poppy Silk Flower Stem - 22.5""",4,848644020165
S4904-YE,"Poppy Silk Flower Stem - 22.5""",4,848644020172
S5069-GRCR,"Mini Watermelon Pepperomia Faux Foliage Spray - 24""",4,848644020493
S5070-GRCR,Mini Fittonia Artificial Foliage Spray - 25',4,848644020509
S5071-GR,"Faux Mountain Laurel Foliage Spray - 25""",4,848644020516
S5073-FL,"Artificial Mini Sunflower Bundle - 12""",4,848644020547
S5073-RD,"Artificial Mini Sunflower Bundle - 12""",4,848644020554
S5073-YE,"Artificial Mini Sunflower Bundle - 12""",4,848644020561
S5075-CE,"Mini Daisy Silk Flower Bundle - 12""",4,848644020592
S5075-RD,"Mini Daisy Silk Flower Bundle - 12""",4,848644020608
S5076-CRMV,"Cabbage Rose Silk Flower Stem - 26""",4,848644020615
S5076-TTPK,"Cabbage Rose Silk Flower Stem - 26""",4,848644020622
S5078-CRMV,"Anemone Silk Flower Stem - 23""",4,848644020646
S5078-VI,"Anemone Silk Flower Stem - 23""",4,848644020653
S5079-HVBL,"Hybrid Lilac Silk Flower Stem Spray - 27""",4,848644020660
S5079-PC,"Hybrid Lilac Silk Flower Stem Spray - 27""",4,848644020677
S5093-WH,"Queen Anne Lace Faux Flower Stem Spray - 28""",4,848644020899
S5093-YE,"Queen Anne Lace Faux Flower Stem Spray - 28""",4,848644020905
S6012-PC,"Artificial Mum Foliage Spray - 23""",4,848644021032
S6045-GR,"Artificial Mini English Ivy Foliage Spray - 24""",4,848644021186
S4338-GR,"Artificial Arroyo Pointed Pine Foliage Stem - 14""",6,848644018902
S4492-TTGR,Artificial Ficus Foliage Branch (x 3),6,848644019039
S4494-GRRD,Artificial Ficus Foliage Branch (x 3),6,848644019046
S4562-WH,"Daisy Silk Flower Stem Spray (x 3) with Bud - 12.5""",6,848644019107
S4562-YE,"Daisy Silk Flower Stem Spray (x 3) with Bud - 12.5""",6,848644019114
S4586-GR,Small Agave Succulent Artificial Foliage Pick,6,848644019268
S4645-PU,"Ranunculus Silk Flower Stem - 14""",6,848644019329
S4665-FU,"Silk Gerbera Daisy Flower Stem - 18.5""",6,848644017899
S4665-OR,"Silk Gerbera Daisy Flower Stem - 18.5""",6,848644017905
S4665-RD,"Silk Gerbera Daisy Flower Stem - 18.5""",6,848644017912
S4665-WH,"Silk Gerbera Daisy Flower Stem - 18.5""",6,848644017929
S4665-YE,"Silk Gerbera Daisy Flower Stem - 18.5""",6,848644017936
S4770-WHT,"Wild Rose Silk Flower Stem - 16""",6,848644019824
S4814-SLV,"Hemlock Leaves Artificial Foliage Spray - 14""",6,848644019978
S4815-GLD,"Artificial Fern Leaves Foliage Spray - 15""",6,848644019985
S4816-GLD,"Artificial Podocarpus Leaves Foliage Stem Spray - 21""",6,848644019992
S4939-NAB,"Faux Twig Foliage Stem Spray - 30""",6,848644020325
S4939-REGD,"Faux Twig Foliage Stem Spray - 30""",6,848644020332
S5003-FU,"Silk Gerbera Daisy Faux Flower Stem - 25""",6,848644018315
S5003-OR,"Silk Gerbera Daisy Faux Flower Stem - 25""",6,848644018322
S5003-WH,"Silk Gerbera Daisy Faux Flower Stem - 25""",6,848644018339
S5003-YE,"Silk Gerbera Daisy Faux Flower Stem - 25""",6,848644018346
