Title,Product Handle,Min,Max,Multiple
,32-maple-leaf-artificial-foliage-stem-spray,3,,
,32-ruffled-phalaenopsis-faux-orchid-foliage-stem,2,,
,33-apple-blossom-silk-flower-stem-spray,2,,
,33-artificial-bird-of-paradise-flower-stem,2,,
,33-artificial-lilac-flower-stem-spray,2,,
,33-artificial-vanda-orchid-stem,2,,
,33-cornus-silk-flower-stem-spray,2,,
,33-silk-hydrangea-faux-flower-stem,2,,
,33-springerii-artificial-hanging-bush,2,,
,33-wormwood-artificial-foliage-spray,4,,
,34-prunus-silk-flower-stem-spray,2,,
,35-faux-bird-of-paradise-leaf-stem,3,,
,36-artificial-bittersweet-foliage-stem-spray,3,,
,36-artificial-cycas-foliage-branch,2,,
,36-wild-thyme-artificial-foliage-stem-spray,3,,
,39-artificial-oncidium-orchid-flower-stem-spray,3,,
,39-hostag-leaf-artificial-hanging-bush-cluster,2,,
,40-artificial-fern-foliage-branch,2,,
,41-forsythia-silk-flower-stem,2,,
,42-artificial-himalayas-grass-foliage-stem,3,,
,42-artificial-springerii-foliage-vine,2,,
,43-artificial-birch-twig-stem,2,,
,48-faux-curly-willow-foliage-stem,2,,
,49-happy-leaves-artificial-foliage-flower-stem-spray,2,,
,5-75-faux-echeveria-pick-foliage-stem,3,,
,52-artificial-birch-twig-branch-stem,2,,
,8-artificial-cactus-plant-foliage-stem,3,,
,8-artificial-tillandsia-air-plant-foliage-stem,4,,
,9-artificial-aloe-pick-foliage-stem,3,,
,9-artificial-phalaenopsis-orchid-foliage-with-roots,4,,
,9-jade-silk-flower-stem,2,,
,artificial-ficus-foliage-branch-x-3,6,,
,artificial-japanese-maple-foliage-branch,3,,
,medium-agave-succulent-artificial-foliage-pick,3,,
,small-agave-succulent-artificial-foliage-pick,6,,
,spike-succulent-artificial-foliage-pick,3,,
,water-lily-bud-faux-flower-stem,3,,
