item,sku,product_name,sheet_weight_raw,sheet_weight_lb,bc_weight_lb,implied_lb_from_div16,ratio,issue_type,detail,product_id,variant_id
,TRB103-06,6' Trim Capensia Silk Tree,,,0.0,,,zero_weight,no weight set on BigCommerce,5774,5504
,TRB103-07,7' Trim Capensia Silk Tree,,,0.0,,,zero_weight,no weight set on BigCommerce,5775,5505
,TRB103-08,8' Trim Capensia Silk Tree,,,0.0,,,zero_weight,no weight set on BigCommerce,5776,5506
,TRB121-55,5.5' Capensia Silk Bush,,,0.0,,,zero_weight,no weight set on BigCommerce,5777,5507
,TRB121-65,6.5' Capensia Silk Bush,,,0.0,,,zero_weight,no weight set on BigCommerce,5778,5508
,TRB245-06,6' Greenhouse Ficus Silk Tree - Red/Green,,,0.0,,,zero_weight,no weight set on BigCommerce,5779,5509
,TRC105-09,9' Silk Butterfly Palm Tree,,,0.0,,,zero_weight,no weight set on BigCommerce,5780,5510
,TRC105-65,6.5' Butterfly Silk Palm Tree,,,0.0,,,zero_weight,no weight set on BigCommerce,5781,5511
,TRC105-75,7.5' Butterfly Silk Palm Tree,,,0.0,,,zero_weight,no weight set on BigCommerce,5782,5512
,TRC155-75,7.5' Premier Areca Silk Palm Tree,,,0.0,,,zero_weight,no weight set on BigCommerce,5783,5513
TRC235-06,TRC235-06,6' Reed Palm Silk Tree,20,20.0,0.0,,,zero_weight,sheet expects 20lb,5784,5514
TRC235-07,TRC235-07,7' Reed Palm Silk Tree,22,22.0,0.0,,,zero_weight,sheet expects 22lb,5785,5515
,TRC255-06,6' Deluxe Silk Bamboo Tree,,,0.0,,,zero_weight,no weight set on BigCommerce,5786,5516
,TRC255-07,7' Deluxe Silk Bamboo Tree,,,0.0,,,zero_weight,no weight set on BigCommerce,5787,5517
,TRC255-08,8' Deluxe Silk Bamboo Tree,,,0.0,,,zero_weight,no weight set on BigCommerce,5788,5518
,TRC255-10,10' Tall Deluxe Silk Bamboo Tree,,,0.0,,,zero_weight,no weight set on BigCommerce,5789,5519
,TRC255-12,12' Tall Deluxe Silk Bamboo Tree,,,0.0,,,zero_weight,no weight set on BigCommerce,5790,5520
,TRC255-14,14' Tall Deluxe Silk Bamboo Tree,,,0.0,,,zero_weight,no weight set on BigCommerce,5791,5521
,TRC301-08,8' Double Kentia Silk Palm,,,0.0,,,zero_weight,no weight set on BigCommerce,5792,5522
