item,sku,product_name,sheet_weight_raw,sheet_weight_lb,bc_weight_lb,implied_lb_from_div16,ratio,issue_type,detail,product_id,variant_id
,S4783-PC,"13"" Silk Ranunculus Flower Stem Spray",,,0.0,,,zero_weight,no weight set on BigCommerce,6271,6265
,S4783-PU,"13"" Silk Ranunculus Flower Stem Spray",,,0.0,,,zero_weight,no weight set on BigCommerce,6271,6266
,S4783-RD,"13"" Silk Ranunculus Flower Stem Spray",,,0.0,,,zero_weight,no weight set on BigCommerce,6271,6267
,S4785,"14"" Dahlia Silk Flower Stem Spray",,,0.0,,,zero_weight,no weight set on BigCommerce,6272,
,S4785-PC,"14"" Dahlia Silk Flower Stem Spray",,,0.0,,,zero_weight,no weight set on BigCommerce,6272,6269
,S4785-PK,"14"" Dahlia Silk Flower Stem Spray",,,0.0,,,zero_weight,no weight set on BigCommerce,6272,6270
,S4785-RD,"14"" Dahlia Silk Flower Stem Spray",,,0.0,,,zero_weight,no weight set on BigCommerce,6272,6271
,S4785-WH,"14"" Dahlia Silk Flower Stem Spray",,,0.0,,,zero_weight,no weight set on BigCommerce,6272,6272
,S4823-BR,"28"" Faux Heather Artificial Flower Stem Spray",,,0.0,,,zero_weight,no weight set on BigCommerce,6255,6224
,S4824-FL,"20"" Mixed Artificial Grass Bundle Foliage Spray",,,0.0,,,zero_weight,no weight set on BigCommerce,6256,6225
,S4825-ORYL,"20.5"" Faux Hypericum Bud Flower Stem Spray",,,0.0,,,zero_weight,no weight set on BigCommerce,6257,6226
,S4897,"18"" Wild Lilac Silk Flower Stem Spray",,,0.0,,,zero_weight,no weight set on BigCommerce,6227,
,S4897-BY,"18"" Wild Lilac Silk Flower Stem Spray",,,0.0,,,zero_weight,no weight set on BigCommerce,6227,6164
,S4897-CR,"18"" Wild Lilac Silk Flower Stem Spray",,,0.0,,,zero_weight,no weight set on BigCommerce,6227,6165
,S4897-PK,"18"" Wild Lilac Silk Flower Stem Spray",,,0.0,,,zero_weight,no weight set on BigCommerce,6227,6166
,S4897-YE,"18"" Wild Lilac Silk Flower Stem Spray",,,0.0,,,zero_weight,no weight set on BigCommerce,6227,6167
,S4900,"31"" Artificial Torch Ginger Stem",,,0.0,,,zero_weight,no weight set on BigCommerce,6205,
,S4900-FL,"31"" Artificial Torch Ginger Stem",,,0.0,,,zero_weight,no weight set on BigCommerce,6205,6097
,S4900-YER,"31"" Artificial Torch Ginger Stem",,,0.0,,,zero_weight,no weight set on BigCommerce,6205,6098
,S4901,"33"" Silk Hydrangea Faux Flower Stem",,,0.0,,,zero_weight,no weight set on BigCommerce,6206,
,S4901-BLG,"33"" Silk Hydrangea Faux Flower Stem",,,0.0,,,zero_weight,no weight set on BigCommerce,6206,6100
,S4901-CGP,"33"" Silk Hydrangea Faux Flower Stem",,,0.0,,,zero_weight,no weight set on BigCommerce,6206,6101
,S4901-MVP,"33"" Silk Hydrangea Faux Flower Stem",,,0.0,,,zero_weight,no weight set on BigCommerce,6206,6102
,S4901-WH,"33"" Silk Hydrangea Faux Flower Stem",,,0.0,,,zero_weight,no weight set on BigCommerce,6206,6103
,S4902,"35"" Gladiola Silk Flower Stem",,,0.0,,,zero_weight,no weight set on BigCommerce,6213,
,S4902-ORF,"35"" Gladiola Silk Flower Stem",,,0.0,,,zero_weight,no weight set on BigCommerce,6213,6111
,S4902-RD,"35"" Gladiola Silk Flower Stem",,,0.0,,,zero_weight,no weight set on BigCommerce,6213,6112
,S4902-WH,"35"" Gladiola Silk Flower Stem",,,0.0,,,zero_weight,no weight set on BigCommerce,6213,6113
,S4902-YE,"35"" Gladiola Silk Flower Stem",,,0.0,,,zero_weight,no weight set on BigCommerce,6213,6114
,S4903,"23"" Poppy Silk Flower Spray",,,0.0,,,zero_weight,no weight set on BigCommerce,6214,
,S4903-GOR,"23"" Poppy Silk Flower Spray",,,0.0,,,zero_weight,no weight set on BigCommerce,6214,6116
,S4903-OR,"23"" Poppy Silk Flower Spray",,,0.0,,,zero_weight,no weight set on BigCommerce,6214,6117
