sku,product_title,sheet_weight_raw,shopify_weight_lb,bigcommerce_weight_lb,implied_lb_if_oz,issue
HDA435-RD,"Plush Velvet Poinsettia, Pine & Berries Artificial Christmas Bouquet",BO,48.0,48.0,3.00,incorrect weight
HDA525-CHG,Champagne Elegance Faux Holiday Sleigh Arrangement,BO,48.0,48.0,3.00,incorrect weight
HDA530-GRR,"Pine, Berry & Cedar Large Artificial Holiday Centerpiece",BO,64.0,64.0,4.00,incorrect weight
HDA535-CHG,Champagne Elegance Artificial Holiday Centerpiece,BO,48.0,48.0,3.00,incorrect weight
HDD222-05,5' Artificial Norway Spruce  Christmas Tree,BO,128.0,128.0,8.00,incorrect weight
HDD222-06,6' Artificial Norway Spruce  Christmas Tree,BO,128.0,128.0,8.00,incorrect weight
HDD224-GR,"30"" Norway Spruce Artificial Tabletop Tree",DISC,64.0,64.0,4.00,incorrect weight
HDD529-GRR,Jingle Bells Artificial Holiday Tabletop Tree,BO,48.0,48.0,3.00,incorrect weight
PLA359-NA1,Serengeti Grass Faux Foliage Plant  - Old Version,DISC,96.0,96.0,6.00,incorrect weight
PLA360-GB,"Mango, Dracaena & Begonia Faux Foliage Planter",Weigh,128.0,128.0,8.00,incorrect weight
PLA364-NA,Silk Japanese Maple Floor Plant,Weigh,128.0,128.0,8.00,incorrect weight
PLA501-GB,Aspidistra Faux Floor Plant,Weigh,72.0,72.0,4.50,incorrect weight
PLA502-GB,Double Aspidistra Faux Floor Plant,Weigh,72.0,72.0,4.50,incorrect weight
PLA504-GB,"Aspidistra, Palm & Silver King Silk Foliage Planter",Weigh,72.0,72.0,4.50,incorrect weight
PLA506-GR,Fiddle Leaf Silk Plant,Weigh,160.0,160.0,10.00,incorrect weight
PLA507-GR,Faux Areca Palm Plant,Weigh,160.0,160.0,10.00,incorrect weight
WRA283-WG,"Magnolia, Viburnum & Berry Silk Flower Wreath",DISC,36.0,36.0,2.25,incorrect weight
