filename	shopify_handle	shopify_title	label	path	source_url
lndg-strip-cp-flash-sale-0326.jpg	flash-sale	Flash Sale	40% Off Sale	/sale/flash-sale/	https://cdn11.bigcommerce.com/s-r932bs4ubb/images/stencil/original/image-manager/lndg-strip-cp-flash-sale-0326.jpg
arrang-tropical-lndg-21-1500-45-00-bc.jpg	tropical	Tropical Paradise	Tropical	/artificial-flowers-stems-plants-trees/tropical	https://cdn11.bigcommerce.com/s-r932bs4ubb/product_images/uploaded_images/arrang-tropical-lndg-21-1500-45-00-bc.jpg
arrang-bestsellers-lndg-21-1500-450.jpg	best-seller-silk-artificial-flower-arrangements	Best Selling Arrangements	Best Selling Arrangements	/best-seller-silk-artificial-flower-arrangements	https://cdn11.bigcommerce.com/s-r932bs4ubb/product_images/uploaded_images/arrang-bestsellers-lndg-21-1500-450.jpg
arrang-callalilies-lndg-21-1500-450-c.jpg	calla-lilies	Calla Lilies	Calla Lilies	/calla-lilies	https://cdn11.bigcommerce.com/s-r932bs4ubb/product_images/uploaded_images/arrang-callalilies-lndg-21-1500-450-c.jpg
lnd-clearance-sale-50.jpg	clearance-sale-silk-flowers-trees-plants	Clearance	Clearance	/clearance-sale-silk-flowers-trees-plants	https://cdn11.bigcommerce.com/s-r932bs4ubb/images/stencil/original/image-manager/lnd-clearance-sale-50.jpg
petals-fall-arrangements-fall-2021.jpg	fall-seasonal-collections	Fall Seasonal Collections	Fall Arrangements	/fall-autumn-silk-flowers-arrangements	https://cdn11.bigcommerce.com/s-r932bs4ubb/product_images/uploaded_images/petals-fall-arrangements-fall-2021.jpg
summer-landing-pg-fla189-ms-b.jpg	seasonal-summer	Summer Seasonal Collections	Summer Arrangements	/full-silk-flower-plants-trees-collection	https://cdn11.bigcommerce.com/s-r932bs4ubb/product_images/uploaded_images/summer-landing-pg-fla189-ms-b.jpg
hol-arrangements-lndgp-1500-450.jpg	holiday-arrangements	Holiday Arrangements	Holiday Arrangements	/holiday-collection/holiday-arrangements/	https://cdn11.bigcommerce.com/s-r932bs4ubb/product_images/uploaded_images/hol-arrangements-lndgp-1500-450.jpg
arrang-hydrangeas-lndg-21-1500-450-b.jpg	hydrangeas-silk-flowers	Hydrangeas	Hydrangeas	/hydrangeas-silk-flowers	https://cdn11.bigcommerce.com/s-r932bs4ubb/product_images/uploaded_images/arrang-hydrangeas-lndg-21-1500-450-b.jpg
arrang-variety-lndg-21-1500-450-d.jpg	other-silk-arrangement-varieties	Other Arrangement Varieties	Other Varieties	/other-silk-arrangement-varieties	https://cdn11.bigcommerce.com/s-r932bs4ubb/product_images/uploaded_images/arrang-variety-lndg-21-1500-450-d.jpg
lndg-spring-flb183-pk-1500.jpg	seasonal-spring	Spring Seasonal Collections	Spring Arrangements	/seasonal-collections/spring	https://cdn11.bigcommerce.com/s-r932bs4ubb/product_images/uploaded_images/lndg-spring-flb183-pk-1500.jpg
collection-gifts-lndg-v2.jpg	gifting	Gifts	Gift Ideas	/send-a-gift	https://cdn11.bigcommerce.com/s-r932bs4ubb/images/stencil/original/image-manager/collection-gifts-lndg-v2.jpg
arrang-orchids-lndg-21-1500-450-c.jpg	orchids	Orchids	Orchids	/silk-artificial-arrangement/orchids	https://cdn11.bigcommerce.com/s-r932bs4ubb/product_images/uploaded_images/arrang-orchids-lndg-21-1500-450-c.jpg
arrang-daisies-lndg-21-1500-450-c.jpg	silk-daisies	Daisies	Daisies	/silk-daisies	https://cdn11.bigcommerce.com/s-r932bs4ubb/product_images/uploaded_images/arrang-daisies-lndg-21-1500-450-c.jpg
arrang-centerpieces-lndg-1500-450-flb168-rdw-b.jpg	centerpieces	Centerpieces	Centerpieces	/silk-floral-arrangements/centerpieces	https://cdn11.bigcommerce.com/s-r932bs4ubb/product_images/uploaded_images/arrang-centerpieces-lndg-1500-450-flb168-rdw-b.jpg
lilies-pl-lndg-21-1500-450.jpg	silk-lilies	Lilies	Lilies	/silk-lilies	https://cdn11.bigcommerce.com/s-r932bs4ubb/product_images/uploaded_images/lilies-pl-lndg-21-1500-450.jpg
arrang-magnolias-lndg-21-1500-450b.jpg	silk-magnolias	Magnolias	Magnolias	/silk-magnolias	https://cdn11.bigcommerce.com/s-r932bs4ubb/product_images/uploaded_images/arrang-magnolias-lndg-21-1500-450b.jpg
arrang-peonies-lndg-21-1500-450-c.jpg	silk-peonies	Peonies	Peonies	/silk-peonies	https://cdn11.bigcommerce.com/s-r932bs4ubb/product_images/uploaded_images/arrang-peonies-lndg-21-1500-450-c.jpg
arrang-poppies-lndg-21-1500-450.jpg	silk-poppies	Poppy	Poppy Florals	/silk-poppies	https://cdn11.bigcommerce.com/s-r932bs4ubb/product_images/uploaded_images/arrang-poppies-lndg-21-1500-450.jpg
